stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
StopArea:LIL945,"Carrefour",,47.18776892,-1.80723914,,,1,
StopArea:LIL739,"Le Pilon Carrefour",,47.17449873,-1.78698684,,,1,
StopArea:LIL36,"Centre",,47.16825336,-1.72009874,,,1,
StopArea:LIL947,"Tour Eiffel",,47.19976628,-1.75478532,,,1,
StopArea:LIL331,"Centre",,47.19589923,-1.72436958,,,1,
StopArea:LIL1214,"Briandière",,47.19010702,-1.69294348,,,1,
StopArea:LIL29,"Centre",,47.17943982,-1.62328622,,,1,
StopArea:LIL6,"Atout Sud",,47.19309684,-1.571421,,,1,
StopArea:LIL280,"Pirmil",,47.19595304,-1.54278428,,,1,
StopArea:LIL8,"Baco",,47.21274572,-1.55207291,,,1,
StopArea:LIL322,"SNCF sud",,47.2161002,-1.54352065,,,1,
StopArea:LIL277,"Centre",,47.68696875,-1.73655437,,,1,
StopArea:LIL110,"Gare Routière SNCF",,48.10343158,-1.6722677,,,1,
StopArea:LIL958,"Transformateur",,47.68405595,-1.68398894,,,1,
StopArea:LIL1212,"Centre",,47.62413282,-1.75078947,,,1,
StopArea:LIL129,"Centre",,47.62850022,-1.83205359,,,1,
StopArea:LIL967,"Gare",,47.65023788,-1.73912165,,,1,
StopArea:LIL89,"Centre",,47.66711534,-1.67138154,,,1,
StopArea:LIL959,"La Foy",,47.65853811,-1.66133012,,,1,
StopArea:LIL957,"Bellevue",,47.68405595,-1.68398894,,,1,
StopArea:LIL267,"Champ de Foire",,47.56503507,-1.62630537,,,1,
StopArea:LIL956,"Gendarmerie",,47.5625101,-1.62726403,,,1,
StopArea:LIL300,"Centre",,47.52277193,-1.61479475,,,1,
StopArea:LIL243,"Centre",,47.59688885,-1.67892464,,,1,
StopArea:LIL806,"Centre",,47.55400541,-1.70065349,,,1,
StopArea:LIL125,"Centre",,47.52695966,-1.66769949,,,1,
StopArea:LIL30,"Bouillon Jaune",,47.51662235,-1.63911777,,,1,
StopArea:LIL960,"L'Alcidais",,47.49032779,-1.63714402,,,1,
StopArea:LIL69,"Centre",,47.46894587,-1.67256689,,,1,
StopArea:LIL32,"Bout de Bois",,47.45219954,-1.63771164,,,1,
StopArea:LIL138,"Centre",,47.41347763,-1.65176046,,,1,
StopArea:LIL952,"La Bosse des Landes",,47.39952299,-1.64483923,,,1,
StopArea:LIL194,"Le Cardo",,47.26168602,-1.58421619,,,1,
StopArea:LIL33,"Bout des Pavés",,47.25465577,-1.57678519,,,1,
StopArea:LIL814,"Hector Berlioz",,47.24042196,-1.57228676,,,1,
StopArea:LIL813,"Longchamp",,47.23864759,-1.57052912,,,1,
StopArea:LIL811,"Les Américains",,47.23610799,-1.56824255,,,1,
StopArea:LIL812,"Charles Le Goffic",,47.23088264,-1.5638936,,,1,
StopArea:LIL15,"Bel Air",,47.22538116,-1.55922832,,,1,
StopArea:LIL791,"Talensac",,47.22148706,-1.55586613,,,1,
StopArea:LIL1262,"Commerce",,0,0,,,1,
StopArea:LIL91,"Duquesne",,47.21721969,-1.55693031,,,1,
StopArea:LIL1265,"Neuville Rond Point",,47.42049555,-1.65748663,,,1,
StopArea:LIL1210,"Plongeon",,47.46710128,-1.71714529,,,1,
StopArea:LIL1240,"Centre Commercial",,47.47332312,-1.74613897,,,1,
StopArea:LIL20,"Centre",,47.4754379,-1.76484259,,,1,
StopArea:LIL828,"Rene Cassin",,47.26409802,-1.57638375,,,1,
StopArea:LIL961,"L'Anglechais",,47.51493193,-1.75132005,,,1,
StopArea:LIL131,"Centre",,47.51995186,-1.74838626,,,1,
StopArea:LIL962,"La Roberdais",,47.54003836,-1.75580665,,,1,
StopArea:LIL807,"Néricou",,47.55861717,-1.76771089,,,1,
StopArea:LIL369,"Trelan",,47.55832655,-1.80982374,,,1,
StopArea:LIL964,"Maison Blanche",,47.55956877,-1.82164742,,,1,
